"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
"Total"	"Idaho"	"16"			1207	7718022	15.638721942	14.756447509	16.520996375	0.450140017	16.182493608	15.251868708	17.113118508	0.474808622
	"Illinois"	"17"	"2021"	"2021"	3762	12671469	29.688744060	28.740023086	30.637465033	0.484041313	29.039101202	28.090237014	29.987965390	0.484114382
	"Illinois"	"17"	"2022"	"2022"	3849	12582032	30.591243132	29.624793463	31.557692800	0.493086566	29.978569968	29.009971751	30.947168185	0.494182764
	"Illinois"	"17"	"2023 (provisional)"	"2023"	3525	12582032	28.016142385	27.091263538	28.941021231	0.471876963	27.196495337	26.277344120	28.115646554	0.468954703
	"Illinois"	"17"	"2024 (provisional and partial)"	"2024"	613	12582032	4.872027030	4.486339566	5.257714494	0.196779318	4.733262711	4.349216491	5.117308931	0.195941949
"Total"	"Illinois"	"17"			11749	50417565	23.303386429	22.882005713	23.724767145	0.214990161	22.751170826	22.330328102	23.172013551	0.214715676
	"Indiana"	"18"	"2021"	"2021"	2811	6805985	41.301883563	39.775036610	42.828730515	0.779003547	43.031524019	41.408714872	44.654333166	0.827963850
	"Indiana"	"18"	"2022"	"2022"	2682	6833037	39.250482619	37.764985938	40.735979299	0.757906470	40.968747028	39.386714843	42.550779212	0.807159278
	"Indiana"	"18"	"2023 (provisional)"	"2023"	2244	6833037	32.840448544	31.481654217	34.199242872	0.693262412	34.342339839	32.892185958	35.792493721	0.739874429
	"Indiana"	"18"	"2024 (provisional and partial)"	"2024"	459	6833037	6.717364475	6.102826618	7.331902332	0.313539723	6.891139161	6.246316805	7.535961517	0.328990998
"Total"	"Indiana"	"18"			8196	27305096	30.016374965	29.366524643	30.666225287	0.331556287	31.311629539	30.619951607	32.003307471	0.352896904
	"Iowa"	"19"	"2021"	"2021"	475	3193079	14.875923834	13.538117609	16.213730060	0.682554197	15.348318725	13.933495684	16.763141766	0.721848490
	"Iowa"	"19"	"2022"	"2022"	469	3200517	14.653882482	13.327641773	15.980123191	0.676653423	15.253543047	13.838659631	16.668426464	0.721879294
	"Iowa"	"19"	"2023 (provisional)"	"2023"	462	3200517	14.435167818	13.118861637	15.751474000	0.671584786	14.946595994	13.549606230	16.343585759	0.712749880
	"Iowa"	"19"	"2024 (provisional and partial)"	"2024"	108	3200517	3.374454815	2.738028965	4.010880664	0.324707066	3.489246316	2.814260319	4.164232312	0.344380611
"Total"	"Iowa"	"19"			1514	12794630	11.833089351	11.237027568	12.429151134	0.304113155	12.248711666	11.616211347	12.881211984	0.322704244
	"Kansas"	"20"	"2021"	"2021"	680	2934582	23.171954302	21.430290690	24.913617914	0.888603884	24.304878429	22.441457664	26.168299194	0.950724880
	"Kansas"	"20"	"2022"	"2022"	754	2937150	25.671143796	23.838763480	27.503524112	0.934887916	26.486137332	24.553990227	28.418284437	0.985789339
	"Kansas"	"20"	"2023 (provisional)"	"2023"	653	2937150	22.232436205	20.527192184	23.937680226	0.870022460	22.783368137	20.994688930	24.572047343	0.912591432
	"Kansas"	"20"	"2024 (provisional and partial)"	"2024"	140	2937150	4.766525373	3.976949330	5.556101416	0.402844920	4.915185991	4.084480114	5.745891867	0.423829529
"Total"	"Kansas"	"20"			2227	11746032	18.959594185	18.172140535	19.747047834	0.401762066	19.622589507	18.789739408	20.455439605	0.424923520
