"state";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"Oregon";1;21;4;17;29.920376;1.760022;Uncorrelated;1;2006;2005;2008;1.181591;9.002858;0.131246;0.897217;0.000673;0.004472;0.150442;0.882296;-0.106652;0.016055;-6.642956;0.000006;0.000238;0.000000;0.000020;1.000000;0.000000;1.000000
"Pennsylvania";2;21;6;15;168.787506;11.252500;Uncorrelated;0;NA;NA;NA;-123.386158;8.622408;-14.309942;0.000000;0.062788;0.004296;14.615813;0.000000;NA;NA;NA;NA;74.345915;0.000000;0.004309;1.000000;0.000000;1.000000
"Pennsylvania";2;21;6;15;168.787506;11.252500;Uncorrelated;1;2014;2012;2014;-485.681705;132.315894;-3.670623;0.002824;0.242676;0.065646;3.696722;0.002687;0.179889;0.065787;2.734419;0.017037;0.000018;0.000000;15392.827424;1.000000;0.000000;1.000000
"Pennsylvania";2;21;6;15;168.787506;11.252500;Uncorrelated;2;2017;2016;2017;268.392241;124.067834;2.163270;0.049735;-0.131183;0.061465;-2.134253;0.052441;-0.373859;0.089930;-4.157214;0.001126;17507.495802;0.000000;0.003778;1.000000;0.000000;1.000000
"Rhode Island";0;21;2;19;63.662003;3.350632;Uncorrelated;0;NA;NA;NA;-140.712906;10.483807;-13.421928;0.000000;0.071438;0.005212;13.706019;0.000000;NA;NA;NA;NA;109.910216;-0.054643;0.000027;1.000000;-0.999996;1.000000
"South Carolina";2;21;6;15;60.663156;4.044210;Uncorrelated;0;NA;NA;NA;-271.289923;37.226015;-7.287643;0.000006;0.136452;0.018582;7.343177;0.000006;NA;NA;NA;NA;1385.776211;0.000000;0.000764;1.000000;0.000000;1.000000
"South Carolina";2;21;6;15;60.663156;4.044210;Uncorrelated;1;2007;2004;2011;-1.996537;55.553896;-0.035939;0.971877;0.002275;0.027639;0.082328;0.935640;-0.134177;0.033305;-4.028791;0.001432;0.000345;0.000000;1187.031652;1.000000;0.000000;1.000000
"South Carolina";2;21;6;15;60.663156;4.044210;Uncorrelated;2;2013;2010;2016;-196.637939;34.453326;-5.707372;0.000072;0.098968;0.017083;5.793273;0.000062;0.096692;0.032492;2.975877;0.010725;3086.235315;0.000000;0.000292;1.000000;0.000000;1.000000
"Tennessee";2;21;6;15;28.179839;1.878656;Uncorrelated;0;NA;NA;NA;-309.244307;30.490850;-10.142200;0.000000;0.155576;0.015230;10.214865;0.000000;NA;NA;NA;NA;929.691907;0.000000;0.000071;1.000000;0.000000;1.000000
"Tennessee";2;21;6;15;28.179839;1.878656;Uncorrelated;1;2005;2003;2007;-49.383502;16.964211;-2.911040;0.012148;0.025970;0.008444;3.075654;0.008852;-0.129606;0.017414;-7.442500;0.000005;0.000232;0.000000;302.583554;1.000000;0.000000;1.000000
"Tennessee";2;21;6;15;28.179839;1.878656;Uncorrelated;2;2013;2008;2015;-180.826823;17.394929;-10.395376;0.000000;0.091267;0.008625;10.581470;0.000000;0.065297;0.012070;5.409795;0.000119;287.784458;0.000000;0.000074;1.000000;0.000000;1.000000
"Texas";1;21;4;17;97.845383;5.755611;Uncorrelated;0;NA;NA;NA;-264.891501;60.384409;-4.386753;0.000460;0.133313;0.030182;4.417000;0.000432;NA;NA;NA;NA;3646.276804;0.000000;29.011354;1.000000;0.000000;1.000000
"Texas";1;21;4;17;97.845383;5.755611;Uncorrelated;1;2003;2002;2007;-26.182459;5.386219;-4.861009;0.000173;0.014137;0.002677;5.281378;0.000075;-0.119176;0.030300;-3.933153;0.001188;0.000911;0.000000;0.000007;1.000000;0.000000;1.000000
"Utah";2;21;6;15;39.938075;2.662538;Uncorrelated;0;NA;NA;NA;-215.146834;51.075144;-4.212359;0.001016;0.108766;0.025514;4.263088;0.000924;NA;NA;NA;NA;2608.670358;0.000000;0.000051;1.000000;0.000000;1.000000
"Utah";2;21;6;15;39.938075;2.662538;Uncorrelated;1;2005;2001;2008;-31.761172;14.341290;-2.214666;0.045261;0.017302;0.007130;2.426673;0.030521;-0.091464;0.026491;-3.452645;0.004286;0.000651;0.000000;41044.637150;1.000000;0.000000;1.000000
"Utah";2;21;6;15;39.938075;2.662538;Uncorrelated;2;2017;2004;2017;194.400206;202.594761;0.959552;0.354788;-0.094825;0.100370;-0.944759;0.362011;-0.112128;0.100623;-1.114334;0.285314;205.672597;0.000000;0.010074;1.000000;0.000000;1.000000
"Vermont";1;21;4;17;28.887918;1.699289;Uncorrelated;0;NA;NA;NA;-99.767174;27.602282;-3.614454;0.002327;0.050848;0.013762;3.694898;0.001963;NA;NA;NA;NA;761.885958;0.000000;2390.690132;1.000000;0.000000;1.000000
"Vermont";1;21;4;17;28.887918;1.699289;Uncorrelated;1;2012;2007;2016;-220.055518;48.894684;-4.500602;0.000363;0.110633;0.024249;4.562406;0.000320;0.059785;0.027882;2.144256;0.047717;0.000189;0.000000;0.000588;1.000000;0.000000;1.000000
"Virginia";2;21;6;15;93.440135;6.229342;Uncorrelated;0;NA;NA;NA;-129.179790;34.164857;-3.781072;0.002288;0.065458;0.017058;3.837395;0.002056;NA;NA;NA;NA;1167.237484;0.000000;0.017072;1.000000;0.000000;1.000000
"Virginia";2;21;6;15;93.440135;6.229342;Uncorrelated;1;2007;2001;2014;88.238588;262.426585;0.336241;0.742055;-0.042872;0.130659;-0.328121;0.748045;-0.108330;0.131768;-0.822129;0.425826;0.000291;0.000000;383.042027;1.000000;0.000000;1.000000
"Virginia";2;21;6;15;93.440135;6.229342;Uncorrelated;2;2010;2008;2017;-203.883188;19.571460;-10.417373;0.000000;0.102462;0.009710;10.552559;0.000000;0.145334;0.131019;1.109260;0.287417;68867.712502;0.000000;0.000094;1.000000;0.000000;1.000000
"Washington";2;21;6;15;34.426592;2.295106;Uncorrelated;0;NA;NA;NA;101.771577;179.803745;0.566015;0.581023;-0.049790;0.089924;-0.553683;0.589193;NA;NA;NA;NA;32329.386619;0.000000;0.006738;1.000000;0.000000;1.000000
"Washington";2;21;6;15;34.426592;2.295106;Uncorrelated;1;2001;2001;2009;-289.172345;164.374070;-1.759233;0.102036;0.145585;0.082084;1.773615;0.099539;0.195374;0.121754;1.604660;0.132576;0.008086;0.000000;32.192626;1.000000;0.000000;1.000000
"Washington";2;21;6;15;34.426592;2.295106;Uncorrelated;2;2004;2004;2017;-15.065351;5.673855;-2.655223;0.019814;0.008805;0.002819;3.122832;0.008084;-0.136780;0.082132;-1.665366;0.119741;27018.834992;0.000000;0.000008;1.000000;0.000000;1.000000
"West Virginia";0;21;2;19;343.953699;18.102826;Uncorrelated;0;NA;NA;NA;-185.913718;16.303984;-11.402962;0.000000;0.094124;0.008103;11.616270;0.000000;NA;NA;NA;NA;265.819897;-0.132107;0.000066;1.000000;-0.999996;1.000000
"Wisconsin";3;21;8;13;23.395360;1.799643;Uncorrelated;0;NA;NA;NA;-287.274358;26.586245;-10.805375;0.000001;0.144391;0.013276;10.876120;0.000001;NA;NA;NA;NA;706.828431;0.000000;461.299254;1.000000;0.000000;1.000000
"Wisconsin";3;21;8;13;23.395360;1.799643;Uncorrelated;1;2006;2001;2008;-0.938782;72.708295;-0.012912;0.989952;0.001652;0.036209;0.045618;0.964513;-0.142740;0.038566;-3.701141;0.004101;0.000176;0.000000;0.000114;1.000000;0.000000;1.000000
"Wisconsin";3;21;8;13;23.395360;1.799643;Uncorrelated;2;2010;2005;2014;-177.653827;21.477878;-8.271479;0.000009;0.089570;0.010666;8.397924;0.000008;0.087918;0.037747;2.329109;0.042114;5286.496115;0.000000;12123.324937;1.000000;0.000000;1.000000
"Wisconsin";3;21;8;13;23.395360;1.799643;Uncorrelated;3;2017;2008;2017;-12.877145;110.105971;-0.116952;0.909213;0.007876;0.054548;0.144383;0.888066;-0.081694;0.055581;-1.469826;0.172356;0.001311;0.000000;0.002975;1.000000;0.000000;1.000000
"Wyoming";1;21;4;17;26.876835;1.580990;Uncorrelated;0;NA;NA;NA;-206.523137;25.764999;-8.015647;0.000001;0.104067;0.012835;8.107948;0.000000;NA;NA;NA;NA;663.835175;0.000000;4352.239249;1.000000;0.000000;1.000000
"Wyoming";1;21;4;17;26.876835;1.580990;Uncorrelated;1;2013;2010;2015;153.425447;65.971503;2.325632;0.033511;-0.074745;0.032720;-2.284364;0.036345;-0.178812;0.035148;-5.087470;0.000110;0.000165;0.000000;0.001071;1.000000;0.000000;1.000000
"US";3;21;8;13;602.719260;46.363020;Uncorrelated;0;NA;NA;NA;-187.094239;14.980486;-12.489197;0.000000;0.094481;0.007481;12.628981;0.000000;NA;NA;NA;NA;224.414968;0.000000;1330.810099;1.000000;0.000000;1.000000
"US";3;21;8;13;602.719260;46.363020;Uncorrelated;1;2006;2003;2008;-44.252369;14.492695;-3.053426;0.012180;0.023273;0.007212;3.227109;0.009065;-0.071207;0.010391;-6.852596;0.000044;0.000056;0.000000;0.000328;1.000000;0.000000;1.000000
"US";3;21;8;13;602.719260;46.363020;Uncorrelated;2;2013;2011;2014;-233.893510;36.480270;-6.411507;0.000077;0.117481;0.018103;6.489450;0.000070;0.094208;0.019487;4.834403;0.000687;210.038199;0.000000;4250.522206;1.000000;0.000000;1.000000
"US";3;21;8;13;602.719260;46.363020;Uncorrelated;3;2017;2015;2017;10.250431;65.196029;0.157225;0.878197;-0.003562;0.032299;-0.110271;0.914376;-0.121043;0.037027;-3.269091;0.008443;0.000052;0.000000;0.001043;1.000000;0.000000;1.000000
