"state";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"Texas";1;0;1999;2003;14.261;7.179;21.810;1;4.417;0.00043
"Texas";1;1;2003;2019;1.424;0.850;2.001;1;5.281;0.00007
"Utah";2;0;1999;2005;11.490;5.511;17.808;1;4.263;0.00092
"Utah";2;1;2005;2017;1.745;0.190;3.325;1;2.427;0.03052
"Utah";2;2;2017;2019;-9.047;-26.777;12.977;0;-0.945;0.36201
"Vermont";1;0;1999;2012;5.216;2.191;8.331;1;3.695;0.00196
"Vermont";1;1;2012;2019;11.699;6.102;17.591;1;4.562;0.00032
"Virginia";2;0;1999;2007;6.765;2.902;10.773;1;3.837;0.00206
"Virginia";2;1;2007;2010;-4.197;-27.758;27.049;0;-0.328;0.74804
"Virginia";2;2;2010;2019;10.790;8.490;13.138;1;10.553;0.00000
"Washington";2;0;1999;2001;-4.857;-21.656;15.544;0;-0.554;0.58919
"Washington";2;1;2001;2004;15.672;-3.125;38.115;0;1.774;0.09954
"Washington";2;2;2004;2019;0.884;0.272;1.501;1;3.123;0.00808
"West Virginia";0;0;1999;2019;9.870;8.022;11.749;1;11.616;0.00000
"Wisconsin";3;0;1999;2006;15.534;12.166;19.002;1;10.876;0.00000
"Wisconsin";3;1;2006;2010;0.165;-7.599;8.582;0;0.046;0.96451
"Wisconsin";3;2;2010;2017;9.370;6.802;12.001;1;8.398;0.00001
"Wisconsin";3;3;2017;2019;0.791;-10.744;13.816;0;0.144;0.88807
"Wyoming";1;0;1999;2013;10.968;7.989;14.028;1;8.108;0.00000
"Wyoming";1;1;2013;2019;-7.202;-13.421;-0.537;1;-2.284;0.03634
"US";3;0;1999;2006;9.909;8.092;11.756;1;12.629;0.00000
"US";3;1;2006;2013;2.355;0.723;4.013;1;3.227;0.00907
"US";3;2;2013;2017;12.466;8.020;17.095;1;6.489;0.00007
"US";3;3;2017;2019;-0.356;-7.275;7.080;0;-0.110;0.91438
